
RISC-V Processor Debug Log
==========================
Session: 2025-07-07 04:13:14
Log File: logs/risc_v_debug_20250707_041314.log
==========================

[04:13:14.906] INFO    | 🚀 Simple Logger Started
[04:13:14.906] SUCCESS | 🖥️ Processor initialized with logging
[04:13:14.906] INFO    | 📂 Loading program from: src/examples/loop_test.asm
[04:13:14.908] SUCCESS | Program loaded: 10 instructions
[04:13:14.908] INFO    | ▶️ Starting execution (max 100 cycles)
[04:13:14.908] INFO    | Cycle   0 | PC:0x0001 | 0x5101 | addi x1, x0, 1 | {'reg_changes': {'x1': '0→1'}}
[04:13:14.908] INFO    | Cycle   1 | PC:0x0002 | 0x5205 | addi x2, x0, 5 | {'reg_changes': {'x2': '0→5'}}
[04:13:14.908] INFO    | Cycle   2 | PC:0x0003 | 0x5300 | addi x3, x0, 0
[04:13:14.909] INFO    | Cycle   3 | PC:0x0004 | 0x9100 | sw x1, 0(x0)
[04:13:14.909] INFO    | Cycle   4 | PC:0x0005 | 0x0331 | add x3, x3, x1 | {'reg_changes': {'x3': '0→1'}}
[04:13:14.909] INFO    | Cycle   5 | PC:0x0006 | 0xA122 | beq x1, x2, 2
[04:13:14.909] INFO    | Cycle   6 | PC:0x0007 | 0x5111 | addi x1, x1, 1 | {'reg_changes': {'x1': '1→2'}}
[04:13:14.909] INFO    | Cycle   7 | PC:0x0002 | 0xA00B | beq x0, x0, -5
[04:13:14.909] INFO    | Cycle   8 | PC:0x0003 | 0x5300 | addi x3, x0, 0 | {'reg_changes': {'x3': '1→0'}}
[04:13:14.909] INFO    | Cycle   9 | PC:0x0004 | 0x9100 | sw x1, 0(x0)
[04:13:14.909] INFO    | Cycle  10 | PC:0x0005 | 0x0331 | add x3, x3, x1 | {'reg_changes': {'x3': '0→2'}}
[04:13:14.909] INFO    | Cycle  11 | PC:0x0006 | 0xA122 | beq x1, x2, 2
[04:13:14.910] INFO    | Cycle  12 | PC:0x0007 | 0x5111 | addi x1, x1, 1 | {'reg_changes': {'x1': '2→3'}}
[04:13:14.910] INFO    | Cycle  13 | PC:0x0002 | 0xA00B | beq x0, x0, -5
[04:13:14.910] INFO    | Cycle  14 | PC:0x0003 | 0x5300 | addi x3, x0, 0 | {'reg_changes': {'x3': '2→0'}}
[04:13:14.910] INFO    | Cycle  15 | PC:0x0004 | 0x9100 | sw x1, 0(x0)
[04:13:14.910] INFO    | Cycle  16 | PC:0x0005 | 0x0331 | add x3, x3, x1 | {'reg_changes': {'x3': '0→3'}}
[04:13:14.910] INFO    | Cycle  17 | PC:0x0006 | 0xA122 | beq x1, x2, 2
[04:13:14.910] INFO    | Cycle  18 | PC:0x0007 | 0x5111 | addi x1, x1, 1 | {'reg_changes': {'x1': '3→4'}}
